Hour,Res,Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation (in),biomass_monthly_netGen,solar_photovoltaic_monthly_netGen,utility-scale_photovoltaic_monthly_netGen,wind_monthly_netGen,customerAcc_number_monthly
2022-01-01 01:00:00,720.468,51.0,50.0,96.5,7.5,0.0,29.715,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 02:00:00,683.191,50.0,49.0,96.0,5.0,0.0,29.88,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 03:00:00,678.439,50.0,49.0,96.0,0.0,0.0,29.88,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 04:00:00,696.969,50.0,48.0,93.0,5.0,0.0,29.86,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 05:00:00,787.142,50.0,49.0,96.0,6.0,0.0,29.84,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 06:00:00,797.723,50.0,49.0,96.0,0.0,0.0,29.825,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 07:00:00,799.884,49.0,49.0,100.0,0.0,0.0,29.81,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 08:00:00,952.35,50.0,50.0,100.0,0.0,0.0,29.81,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 09:00:00,1089.78,50.0,49.0,96.0,3.0,0.0,29.8,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 10:00:00,1101.345,50.333333333333336,50.0,98.66666666666667,6.333333333333333,0.0,29.813333333333333,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 11:00:00,1035.99,52.0,51.0,97.0,7.0,0.0,29.83,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 12:00:00,1257.401,53.0,52.5,98.0,10.5,0.0,29.775,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 13:00:00,1060.021,54.0,53.0,97.0,10.0,0.0,29.76,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 14:00:00,1181.384,55.0,54.0,96.0,8.0,0.0,29.74,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 15:00:00,1149.52,55.0,54.0,96.0,5.0,0.0,29.72,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 16:00:00,1338.493,55.0,54.0,96.0,6.0,0.0,29.69,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 17:00:00,1438.674,55.0,54.0,96.0,6.0,0.0,29.68,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 18:00:00,1871.949,55.0,54.0,96.0,5.0,0.0,29.69,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 19:00:00,1662.367,55.0,54.0,96.0,0.0,0.0,29.69,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 20:00:00,1817.831,54.0,53.5,98.5,3.0,0.0,29.685000000000002,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 21:00:00,1689.339,54.0,53.666666666666664,99.0,0.0,0.0,29.66333333333333,0.06666666666666667,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 22:00:00,1322.197,53.5,53.5,100.0,5.0,0.0,29.630000000000003,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-01 23:00:00,1105.492,53.0,53.0,100.0,11.333333333333334,0.0,29.603333333333335,0.13333333333333333,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 00:00:00,718.665,53.0,53.0,100.0,7.0,0.0,29.57,0.3,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 01:00:00,663.784,44.0,38.5,82.0,10.5,0.0,29.775,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 02:00:00,612.761,52.0,52.0,100.0,3.0,0.0,29.52,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 03:00:00,638.41,52.0,52.0,100.0,0.0,0.0,29.52,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 04:00:00,668.868,52.666666666666664,52.333333333333336,98.66666666666667,8.0,0.0,29.526666666666667,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 05:00:00,766.745,53.0,53.0,100.0,4.0,0.0,29.535,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 06:00:00,773.65,52.0,52.0,100.0,6.0,0.0,29.55,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 07:00:00,752.297,52.0,52.0,100.0,7.0,0.0,29.57,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 08:00:00,924.293,52.0,52.0,100.0,1.5,0.0,29.545,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 09:00:00,1080.417,52.5,52.0,98.0,6.0,0.0,29.56,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 10:00:00,1079.943,53.0,53.0,100.0,7.0,0.0,29.56,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 11:00:00,1004.073,54.0,53.666666666666664,99.0,9.333333333333334,0.0,29.593333333333334,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 12:00:00,1328.524,54.0,53.0,97.0,13.0,0.0,29.61,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 13:00:00,1014.565,56.0,54.0,93.0,14.0,0.0,29.59,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 14:00:00,1174.711,57.0,53.333333333333336,87.66666666666667,14.0,0.0,29.59,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 15:00:00,1140.718,58.0,52.0,81.0,12.0,0.0,29.605,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 16:00:00,1326.615,58.0,50.0,75.0,16.0,13.0,29.625,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 17:00:00,1456.199,57.0,47.0,69.0,13.0,0.0,29.66,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 18:00:00,1784.777,53.0,44.0,71.0,12.0,0.0,29.72,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 19:00:00,1791.808,48.0,39.0,71.0,18.0,29.0,29.79,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 20:00:00,1686.835,44.0,34.0,68.0,12.0,0.0,29.84,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 21:00:00,1584.606,41.0,31.0,67.0,18.0,25.0,29.9,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 22:00:00,1416.217,38.0,27.0,65.0,18.0,25.0,29.92,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-02 23:00:00,1197.036,37.0,27.0,67.0,12.0,21.0,29.94,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-03 00:00:00,955.182,37.0,26.0,65.0,17.0,0.0,29.97,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-03 01:00:00,884.799,22.0,6.0,51.0,16.0,22.0,30.25,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-03 02:00:00,854.617,36.0,25.0,64.0,13.0,0.0,30.02,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
2022-01-03 03:00:00,855.719,36.0,24.0,62.0,12.0,0.0,30.08,0.0,56.50104,165.56839,78.1793,2.37,4203312.0
